Date,Var1,Var2,Var3,Var4,CovidPeriod
1/1/2010,77.31,66.94,,,0
1/8/2010,78.05,68.85,,,0
1/15/2010,79.29,68.3,,,0
1/22/2010,80.57,68.19,,,0
1/29/2010,81.87,68.79,,,0
2/5/2010,83.7,70.35,,,0
2/12/2010,81.85,68.32,,,0
2/19/2010,82.66,69.04,,,0
2/26/2010,86.32,69.7,,,0
3/5/2010,85.37,69.98,,,0
3/12/2010,84.04,69.76,,,0
3/19/2010,84.37,69.76,,,0
3/26/2010,85.7,70.06,,,0
4/2/2010,85.38,70.72,,,0
4/9/2010,89.21,71.7,,,0
4/16/2010,89.74,72.35,,,0
4/23/2010,90.72,74.26,,,0
4/30/2010,99.79,78.67,,,0
5/7/2010,102.34,81.48,,,0
5/14/2010,96.42,79.81,,,0
5/21/2010,96.17,76.9,,,0
5/28/2010,95.73,77.67,,,0
6/4/2010,94.33,76.05,,,0
6/11/2010,94.48,79.71,,,0
6/18/2010,95.24,80.36,,,0
6/25/2010,99.46,81.27,,,0
7/2/2010,98.76,80.25,,,0
7/9/2010,97.69,80.71,,,0
7/16/2010,97.06,82,,,0
7/23/2010,97.83,81.87,,,0
7/30/2010,95.39,80.65,,,0
8/6/2010,94.51,79.94,,,0
8/13/2010,93.26,80.2,,,0
8/20/2010,92,79.04,,,0
8/27/2010,92.75,78.98,,,0
9/3/2010,93.14,79.62,,,0
9/10/2010,93.17,79.2,,,0
9/17/2010,94.53,80.18,,,0
9/24/2010,96.03,81.38,,,0
10/1/2010,97.16,80.56,,,0
10/8/2010,96.1,80.4,,,0
10/15/2010,96.15,80.88,,,0
10/22/2010,97.73,82.75,,,0
10/29/2010,99.6,82.92,,,0
11/5/2010,100.05,85.64,,,0
11/12/2010,102.89,86.36,,,0
11/13/2010,107.17,90.4,,,0
11/25/2010,106.74,90.58,,,0
12/3/2010,109.98,91.52,,,0
12/10/2010,111.53,92.08,,,0
12/17/2010,116.7,93.17,,,0
12/24/2010,120.25,94.27,,,0
12/31/2010,125.07,95.09,,,0
1/7/2011,126.39,100.88,,,0
1/14/2011,133.4,103.69,,,0
1/21/2011,133.42,105.07,,,0
1/28/2011,127.23,103.8,,,0
2/4/2011,128.85,101.94,,,0
2/11/2011,125.21,97.3,,,0
2/18/2011,124.9,98.74,,,0
